A_or_B,trial,block_num,trial_type,corr_resp,corr_resp_left,image_name,trial_dur,new_block
A,1,1,0,nan,nan,stimuli/0back_instr.jpg,3,1
null,2,1,fix,nan,nan,stimuli/fix.jpg,0.5,0
null,3,1,0,0,0,stimuli/7.jpg,0.5,0
null,4,1,fix,0,0,stimuli/fix.jpg,2.5,0
null,5,1,0,1,4,stimuli/8.jpg,0.5,0
null,6,1,fix,1,4,stimuli/fix.jpg,2.5,0
null,7,1,0,0,0,stimuli/4.jpg,0.5,0
null,8,1,fix,0,0,stimuli/fix.jpg,2.5,0
null,9,1,0,0,0,stimuli/6.jpg,0.5,0
null,10,1,fix,0,0,stimuli/fix.jpg,2.5,0
null,11,1,0,1,4,stimuli/8.jpg,0.5,0
null,12,1,fix,1,4,stimuli/fix.jpg,2.5,0
null,13,1,0,0,0,stimuli/1.jpg,0.5,0
null,14,1,fix,0,0,stimuli/fix.jpg,2.5,0
null,15,1,0,0,0,stimuli/5.jpg,0.5,0
null,16,1,fix,0,0,stimuli/fix.jpg,2.5,0
null,17,1,0,1,4,stimuli/8.jpg,0.5,0
null,18,1,fix,1,4,stimuli/fix.jpg,2.5,0
null,19,1,0,0,0,stimuli/3.jpg,0.5,0
null,20,1,fix,0,0,stimuli/fix.jpg,2.5,0
null,21,1,0,0,0,stimuli/2.jpg,0.5,0
null,22,1,fix,0,0,stimuli/fix.jpg,15,0
null,23,2,1,nan,nan,stimuli/1back_instr.jpg,3,1
null,24,2,fix,nan,nan,stimuli/fix.jpg,0.5,0
null,25,2,1,0,0,stimuli/4_lower.jpg,0.5,0
null,26,2,fix,0,0,stimuli/fix.jpg,2.5,0
null,27,2,1,0,0,stimuli/5_lower.jpg,0.5,0
null,28,2,fix,0,0,stimuli/fix.jpg,2.5,0
null,29,2,1,1,4,stimuli/5_lower.jpg,0.5,0
null,30,2,fix,1,4,stimuli/fix.jpg,2.5,0
null,31,2,1,0,0,stimuli/7_lower.jpg,0.5,0
null,32,2,fix,0,0,stimuli/fix.jpg,2.5,0
null,33,2,1,0,0,stimuli/3_lower.jpg,0.5,0
null,34,2,fix,0,0,stimuli/fix.jpg,2.5,0
null,35,2,1,0,0,stimuli/2_lower.jpg,0.5,0
null,36,2,fix,0,0,stimuli/fix.jpg,2.5,0
null,37,2,1,1,4,stimuli/2_lower.jpg,0.5,0
null,38,2,fix,1,4,stimuli/fix.jpg,2.5,0
null,39,2,1,0,0,stimuli/8_lower.jpg,0.5,0
null,40,2,fix,0,0,stimuli/fix.jpg,2.5,0
null,41,2,1,0,0,stimuli/1_lower.jpg,0.5,0
null,42,2,fix,0,0,stimuli/fix.jpg,2.5,0
null,43,2,1,1,4,stimuli/1_lower.jpg,0.5,0
null,44,2,fix,1,4,stimuli/fix.jpg,17,0
null,45,3,2,nan,nan,stimuli/2back_instr.jpg,3,1
null,46,3,fix,nan,nan,stimuli/fix.jpg,0.5,0
null,47,3,2,0,0,stimuli/6_lower.jpg,0.5,0
null,48,3,fix,0,0,stimuli/fix.jpg,2.5,0
null,49,3,2,0,0,stimuli/4_lower.jpg,0.5,0
null,50,3,fix,0,0,stimuli/fix.jpg,2.5,0
null,51,3,2,0,0,stimuli/3_lower.jpg,0.5,0
null,52,3,fix,0,0,stimuli/fix.jpg,2.5,0
null,53,3,2,1,4,stimuli/4_lower.jpg,0.5,0
null,54,3,fix,1,4,stimuli/fix.jpg,2.5,0
null,55,3,2,0,0,stimuli/8_lower.jpg,0.5,0
null,56,3,fix,0,0,stimuli/fix.jpg,2.5,0
null,57,3,2,0,0,stimuli/3_lower.jpg,0.5,0
null,58,3,fix,0,0,stimuli/fix.jpg,2.5,0
null,59,3,2,0,0,stimuli/5_lower.jpg,0.5,0
null,60,3,fix,0,0,stimuli/fix.jpg,2.5,0
null,61,3,2,1,4,stimuli/3_lower.jpg,0.5,0
null,62,3,fix,1,4,stimuli/fix.jpg,2.5,0
null,63,3,2,1,4,stimuli/5_lower.jpg,0.5,0
null,64,3,fix,1,4,stimuli/fix.jpg,2.5,0
null,65,3,2,0,0,stimuli/1_lower.jpg,0.5,0
null,66,3,fix,0,0,stimuli/fix.jpg,19,0
null,67,4,1,nan,nan,stimuli/1back_instr.jpg,3,1
null,68,4,fix,nan,nan,stimuli/fix.jpg,0.5,0
null,69,4,1,0,0,stimuli/6_lower.jpg,0.5,0
null,70,4,fix,0,0,stimuli/fix.jpg,2.5,0
null,71,4,1,0,0,stimuli/2_lower.jpg,0.5,0
null,72,4,fix,0,0,stimuli/fix.jpg,2.5,0
null,73,4,1,1,4,stimuli/2_lower.jpg,0.5,0
null,74,4,fix,1,4,stimuli/fix.jpg,2.5,0
null,75,4,1,1,4,stimuli/2_lower.jpg,0.5,0
null,76,4,fix,1,4,stimuli/fix.jpg,2.5,0
