,subj_key_resp,subj_key_resp_first,rxn_time,corr_resp,corr_resp_left,running_time,hits,corr_skips,false_alarm,misses,total_hits,total_corr_skips,total_false_alarm,total_misses,overall_accuracy,hit_accuracy,false_alarm_rate,avg_rxn_time
0,,,,,,0.25595784187316895,0,0,0,0,0,0,0,0,,,,
1,"[('1', 0.36427903175354004)]",1,0.36427903175354004,1.0,4.0,,1,0,0,0,1,0,0,0,100.0,100.0,,0.36427903175354004
2,,,,0.0,0.0,,0,1,0,0,1,1,0,0,100.0,100.0,0.0,0.36427903175354004
3,,,,0.0,0.0,,0,1,0,0,1,2,0,0,100.0,100.0,0.0,0.36427903175354004
4,,,,0.0,0.0,,0,1,0,0,1,3,0,0,100.0,100.0,0.0,0.36427903175354004
5,"[('1', 0.39774513244628906)]",1,0.39774513244628906,1.0,4.0,,1,0,0,0,2,3,0,0,100.0,100.0,0.0,0.38101208209991455
6,,,,0.0,0.0,,0,1,0,0,2,4,0,0,100.0,100.0,0.0,0.38101208209991455
7,"[('1', 0.664355993270874)]",1,0.664355993270874,1.0,4.0,,1,0,0,0,3,4,0,0,100.0,100.0,0.0,0.4754600524902344
8,,,,0.0,0.0,,0,1,0,0,3,5,0,0,100.0,100.0,0.0,0.4754600524902344
9,,,,0.0,0.0,,0,1,0,0,3,6,0,0,100.0,100.0,0.0,0.4754600524902344
10,,,,0.0,0.0,,0,1,0,0,3,7,0,0,100.0,100.0,0.0,0.4754600524902344
11,,,,,,46.47548985481262,0,0,0,0,3,7,0,0,100.0,100.0,0.0,0.4754600524902344
12,,,,0.0,0.0,,0,1,0,0,3,8,0,0,100.0,100.0,0.0,0.4754600524902344
13,"[('1', 0.42185211181640625)]",1,0.42185211181640625,1.0,4.0,,1,0,0,0,4,8,0,0,100.0,100.0,0.0,0.46205806732177734
14,,,,0.0,0.0,,0,1,0,0,4,9,0,0,100.0,100.0,0.0,0.46205806732177734
15,,,,0.0,0.0,,0,1,0,0,4,10,0,0,100.0,100.0,0.0,0.46205806732177734
16,"[('1', 0.43053388595581055)]",1,0.43053388595581055,1.0,4.0,,1,0,0,0,5,10,0,0,100.0,100.0,0.0,0.455753231048584
17,,,,0.0,0.0,,0,1,0,0,5,11,0,0,100.0,100.0,0.0,0.455753231048584
18,,,,0.0,0.0,,0,1,0,0,5,12,0,0,100.0,100.0,0.0,0.455753231048584
19,,,,0.0,0.0,,0,1,0,0,5,13,0,0,100.0,100.0,0.0,0.455753231048584
20,"[('1', 0.47837400436401367)]",1,0.47837400436401367,1.0,4.0,,1,0,0,0,6,13,0,0,100.0,100.0,0.0,0.45952335993448895
21,,,,0.0,0.0,,0,1,0,0,6,14,0,0,100.0,100.0,0.0,0.45952335993448895
22,,,,,,94.71569204330444,0,0,0,0,6,14,0,0,100.0,100.0,0.0,0.45952335993448895
23,,,,0.0,0.0,,0,1,0,0,6,15,0,0,100.0,100.0,0.0,0.45952335993448895
24,,,,0.0,0.0,,0,1,0,0,6,16,0,0,100.0,100.0,0.0,0.45952335993448895
25,"[('1', 0.4119911193847656)]",1,0.4119911193847656,1.0,4.0,,1,0,0,0,7,16,0,0,100.0,100.0,0.0,0.45273303985595703
26,,,,1.0,4.0,,0,0,0,1,7,16,0,1,95.83333333333333,87.5,0.0,0.45273303985595703
27,,,,0.0,0.0,,0,1,0,0,7,17,0,1,96.0,87.5,0.0,0.45273303985595703
28,,,,0.0,0.0,,0,1,0,0,7,18,0,1,96.15384615384616,87.5,0.0,0.45273303985595703
29,,,,1.0,4.0,,0,0,0,1,7,18,0,2,92.5925925925926,77.77777777777777,0.0,0.45273303985595703
30,,,,0.0,0.0,,0,1,0,0,7,19,0,2,92.85714285714286,77.77777777777777,0.0,0.45273303985595703
31,,,,0.0,0.0,,0,1,0,0,7,20,0,2,93.10344827586206,77.77777777777777,0.0,0.45273303985595703
32,,,,0.0,0.0,,0,1,0,0,7,21,0,2,93.33333333333333,77.77777777777777,0.0,0.45273303985595703
33,,,,,,144.95102787017822,0,0,0,0,7,21,0,2,93.33333333333333,77.77777777777777,0.0,0.45273303985595703
34,,,,0.0,0.0,,0,1,0,0,7,22,0,2,93.54838709677419,77.77777777777777,0.0,0.45273303985595703
35,"[('1', 0.5802710056304932)]",1,0.5802710056304932,1.0,4.0,,1,0,0,0,8,22,0,2,93.75,80.0,0.0,0.46867528557777405
36,,,,0.0,0.0,,0,1,0,0,8,23,0,2,93.93939393939394,80.0,0.0,0.46867528557777405
37,,,,0.0,0.0,,0,1,0,0,8,24,0,2,94.11764705882354,80.0,0.0,0.46867528557777405
38,,,,0.0,0.0,,0,1,0,0,8,25,0,2,94.28571428571429,80.0,0.0,0.46867528557777405
39,,,,0.0,0.0,,0,1,0,0,8,26,0,2,94.44444444444444,80.0,0.0,0.46867528557777405
40,"[('1', 0.8463170528411865)]",1,0.8463170528411865,1.0,4.0,,1,0,0,0,9,26,0,2,94.5945945945946,81.81818181818181,0.0,0.5106354819403754
41,,,,0.0,0.0,,0,1,0,0,9,27,0,2,94.73684210526316,81.81818181818181,0.0,0.5106354819403754
42,,,,0.0,0.0,,0,1,0,0,9,28,0,2,94.87179487179488,81.81818181818181,0.0,0.5106354819403754
43,"[('1', 0.2800319194793701)]",1,0.2800319194793701,1.0,4.0,,1,0,0,0,10,28,0,2,95.0,83.33333333333333,0.0,0.4875751256942749
44,,,,,,193.19054985046387,0,0,0,0,10,28,0,2,95.0,83.33333333333333,0.0,0.4875751256942749
45,,,,0.0,0.0,,0,1,0,0,10,29,0,2,95.1219512195122,83.33333333333333,0.0,0.4875751256942749
46,"[('1', 0.4966099262237549)]",1,0.4966099262237549,1.0,4.0,,1,0,0,0,11,29,0,2,95.23809523809524,84.61538461538461,0.0,0.4883964711969549
47,,,,0.0,0.0,,0,1,0,0,11,30,0,2,95.34883720930233,84.61538461538461,0.0,0.4883964711969549
48,,,,0.0,0.0,,0,1,0,0,11,31,0,2,95.45454545454545,84.61538461538461,0.0,0.4883964711969549
49,,,,0.0,0.0,,0,1,0,0,11,32,0,2,95.55555555555556,84.61538461538461,0.0,0.4883964711969549
50,,,,0.0,0.0,,0,1,0,0,11,33,0,2,95.65217391304348,84.61538461538461,0.0,0.4883964711969549
51,,,,0.0,0.0,,0,1,0,0,11,34,0,2,95.74468085106383,84.61538461538461,0.0,0.4883964711969549
52,"[('1', 0.41422009468078613)]",1,0.41422009468078613,1.0,4.0,,1,0,0,0,12,34,0,2,95.83333333333333,85.71428571428571,0.0,0.48221510648727417
53,,,,0.0,0.0,,0,1,0,0,12,35,0,2,95.91836734693878,85.71428571428571,0.0,0.48221510648727417
54,"[('1', 0.48081302642822266)]",1,0.48081302642822266,1.0,4.0,,1,0,0,0,13,35,0,2,96.0,86.66666666666667,0.0,0.4821072541750394
55,,,,,,241.44683599472046,0,0,0,0,13,35,0,2,96.0,86.66666666666667,0.0,0.4821072541750394
56,,,,0.0,0.0,,0,1,0,0,13,36,0,2,96.07843137254902,86.66666666666667,0.0,0.4821072541750394
57,,,,0.0,0.0,,0,1,0,0,13,37,0,2,96.15384615384616,86.66666666666667,0.0,0.4821072541750394
58,,,,1.0,4.0,,0,0,0,1,13,37,0,3,94.33962264150944,81.25,0.0,0.4821072541750394
59,,,,0.0,0.0,,0,1,0,0,13,38,0,3,94.44444444444444,81.25,0.0,0.4821072541750394
60,,,,0.0,0.0,,0,1,0,0,13,39,0,3,94.54545454545455,81.25,0.0,0.4821072541750394
61,,,,0.0,0.0,,0,1,0,0,13,40,0,3,94.64285714285714,81.25,0.0,0.4821072541750394
