,subj_key_resp,subj_key_resp_first,rxn_time,corr_resp,corr_resp_left,running_time,hits,corr_skips,false_alarm,misses,total_hits,total_corr_skips,total_false_alarm,total_misses,overall_accuracy,hit_accuracy,false_alarm_rate,avg_rxn_time
0,,,,,,0.26679110527038574,0,0,0,0,0,0,0,0,,,,
1,,,,0.0,0.0,,0,1,0,0,0,1,0,0,100.0,,0.0,
2,"[('1', 0.43107008934020996)]",1,0.43107008934020996,1.0,4.0,,1,0,0,0,1,1,0,0,100.0,100.0,0.0,0.43107008934020996
3,"[('1', 0.3465089797973633)]",1,0.3465089797973633,0.0,0.0,,0,0,1,0,1,1,1,0,66.66666666666667,100.0,33.333333333333336,0.3887895345687866
4,"[('1', 0.3808138370513916)]",1,0.3808138370513916,0.0,0.0,,0,0,1,0,1,1,2,0,50.0,100.0,50.0,0.38613096872965497
5,"[('1', 0.44747495651245117)]",1,0.44747495651245117,1.0,4.0,,1,0,0,0,2,1,2,0,60.0,100.0,40.0,0.401466965675354
6,,,,0.0,0.0,,0,1,0,0,2,2,2,0,66.66666666666667,100.0,33.333333333333336,0.401466965675354
7,,,,0.0,0.0,,0,1,0,0,2,3,2,0,71.42857142857143,100.0,28.571428571428573,0.401466965675354
8,"[('1', 0.3630847930908203)]",1,0.3630847930908203,1.0,4.0,,1,0,0,0,3,3,2,0,75.0,100.0,25.0,0.39379053115844725
9,,,,0.0,0.0,,0,1,0,0,3,4,2,0,77.77777777777777,100.0,22.22222222222222,0.39379053115844725
10,,,,0.0,0.0,,0,1,0,0,3,5,2,0,80.0,100.0,20.0,0.39379053115844725
11,,,,,,46.48269605636597,0,0,0,0,3,5,2,0,80.0,100.0,20.0,0.39379053115844725
12,,,,0.0,0.0,,0,1,0,0,3,6,2,0,81.81818181818181,100.0,18.181818181818183,0.39379053115844725
13,,,,0.0,0.0,,0,1,0,0,3,7,2,0,83.33333333333333,100.0,16.666666666666668,0.39379053115844725
14,"[('1', 2.2658450603485107)]",1,2.2658450603485107,1.0,4.0,,1,0,0,0,4,7,2,0,84.61538461538461,100.0,15.384615384615385,0.7057996193567911
15,,,,0.0,0.0,,0,1,0,0,4,8,2,0,85.71428571428571,100.0,14.285714285714286,0.7057996193567911
16,,,,0.0,0.0,,0,1,0,0,4,9,2,0,86.66666666666667,100.0,13.333333333333334,0.7057996193567911
17,,,,0.0,0.0,,0,1,0,0,4,10,2,0,87.5,100.0,12.5,0.7057996193567911
18,"[('1', 0.8821420669555664)]",1,0.8821420669555664,1.0,4.0,,1,0,0,0,5,10,2,0,88.23529411764706,100.0,11.764705882352942,0.7309913975851876
19,,,,0.0,0.0,,0,1,0,0,5,11,2,0,88.88888888888889,100.0,11.11111111111111,0.7309913975851876
20,,,,0.0,0.0,,0,1,0,0,5,12,2,0,89.47368421052632,100.0,10.526315789473685,0.7309913975851876
21,"[('1', 0.3139231204986572)]",1,0.3139231204986572,1.0,4.0,,1,0,0,0,6,12,2,0,90.0,100.0,10.0,0.6788578629493713
22,,,,,,94.70571398735046,0,0,0,0,6,12,2,0,90.0,100.0,10.0,0.6788578629493713
23,,,,0.0,0.0,,0,1,0,0,6,13,2,0,90.47619047619048,100.0,9.523809523809524,0.6788578629493713
24,,,,0.0,0.0,,0,1,0,0,6,14,2,0,90.9090909090909,100.0,9.090909090909092,0.6788578629493713
25,,,,0.0,0.0,,0,1,0,0,6,15,2,0,91.30434782608695,100.0,8.695652173913043,0.6788578629493713
26,"[('1', 0.6129350662231445)]",1,0.6129350662231445,1.0,4.0,,1,0,0,0,7,15,2,0,91.66666666666667,100.0,8.333333333333334,0.6715331077575684
27,,,,0.0,0.0,,0,1,0,0,7,16,2,0,92.0,100.0,8.0,0.6715331077575684
28,"[('1', 1.163273811340332)]",1,1.163273811340332,0.0,0.0,,0,0,1,0,7,16,3,0,88.46153846153847,100.0,11.538461538461538,0.7207071781158447
29,,,,0.0,0.0,,0,1,0,0,7,17,3,0,88.88888888888889,100.0,11.11111111111111,0.7207071781158447
30,"[('1', 0.4820680618286133)]",1,0.4820680618286133,1.0,4.0,,1,0,0,0,8,17,3,0,89.28571428571429,100.0,10.714285714285714,0.6990127129988237
31,"[('1', 0.8777589797973633)]",1,0.8777589797973633,1.0,4.0,,1,0,0,0,9,17,3,0,89.65517241379311,100.0,10.344827586206897,0.7139082352320353
32,,,,0.0,0.0,,0,1,0,0,9,18,3,0,90.0,100.0,10.0,0.7139082352320353
33,,,,,,144.94632005691528,0,0,0,0,9,18,3,0,90.0,100.0,10.0,0.7139082352320353
34,,,,0.0,0.0,,0,1,0,0,9,19,3,0,90.3225806451613,100.0,9.67741935483871,0.7139082352320353
35,,,,0.0,0.0,,0,1,0,0,9,20,3,0,90.625,100.0,9.375,0.7139082352320353
36,"[('1', 0.6204009056091309)]",1,0.6204009056091309,1.0,4.0,,1,0,0,0,10,20,3,0,90.9090909090909,100.0,9.090909090909092,0.7067153637225811
37,"[('1', 0.5652811527252197)]",1,0.5652811527252197,1.0,4.0,,1,0,0,0,11,20,3,0,91.17647058823529,100.0,8.823529411764707,0.6966129200799125
38,,,,0.0,0.0,,0,1,0,0,11,21,3,0,91.42857142857143,100.0,8.571428571428571,0.6966129200799125
39,,,,0.0,0.0,,0,1,0,0,11,22,3,0,91.66666666666667,100.0,8.333333333333334,0.6966129200799125
40,,,,0.0,0.0,,0,1,0,0,11,23,3,0,91.89189189189189,100.0,8.108108108108109,0.6966129200799125
41,,,,0.0,0.0,,0,1,0,0,11,24,3,0,92.10526315789474,100.0,7.894736842105263,0.6966129200799125
42,"[('1', 0.5480928421020508)]",1,0.5480928421020508,1.0,4.0,,1,0,0,0,12,24,3,0,92.3076923076923,100.0,7.6923076923076925,0.686711581548055
43,,,,0.0,0.0,,0,1,0,0,12,25,3,0,92.5,100.0,7.5,0.686711581548055
44,,,,,,193.1519091129303,0,0,0,0,12,25,3,0,92.5,100.0,7.5,0.686711581548055
45,"[('1', 0.5296759605407715)]",1,0.5296759605407715,1.0,4.0,,1,0,0,0,13,25,3,0,92.6829268292683,100.0,7.317073170731708,0.6768968552350998
46,,,,0.0,0.0,,0,1,0,0,13,26,3,0,92.85714285714286,100.0,7.142857142857143,0.6768968552350998
